fecha,hora,tiempo,partida,# palabras a adivinar,nombre_evento,usuarie-nick,usuarie-genero,usuarie-edad,estado,palabra,nivel,dificultad
05/07/21,18:22:25,1:04,1,6.0,inicio_partida,Relderf,Masculino,30,,,1,Fácil
05/07/21,18:28:25,1:04,2,6.0,inicio_partida,Relderf,Masculino,30,,,1,Fácil
05/07/21,18:33:48,1:04,3,6.0,inicio_partida,Relderf,Masculino,30,,,1,Fácil
05/07/21,18:42:14,1:04,4,6.0,inicio_partida,Relderf,Masculino,30,,,1,Fácil
05/07/21,18:47:47,1:04,5,6.0,inicio_partida,Relderf,Masculino,30,,,1,Fácil
05/07/21,18:49:08,1:04,6,6.0,inicio_partida,Relderf,Masculino,30,,,1,Fácil
05/07/21,18:51:27,1:04,7,6.0,inicio_partida,Relderf,Masculino,30,,,1,Fácil
05/07/21,18:57:48,1:04,8,6.0,inicio_partida,Relderf,Masculino,30,,,1,Fácil
05/07/21,19:12:10,1:04,9,6.0,inicio_partida,Relderf,Masculino,30,,,1,Fácil
05/07/21,19:17:30,1:04,10,6.0,inicio_partida,Relderf,Masculino,30,,,1,Fácil
05/07/21,19:19:50,1:04,11,6.0,inicio_partida,Relderf,Masculino,30,,,1,Fácil
05/07/21,19:22:38,1:04,12,6.0,inicio_partida,Relderf,Masculino,30,,,1,Fácil
05/07/21,19:34:28,1:04,13,6.0,inicio_partida,Relderf,Masculino,30,,,1,Fácil
05/07/21,19:51:13,1:04,14,6.0,inicio_partida,Relderf,Masculino,30,,,1,Fácil
05/07/21,19:51:19,1:04,14,6.0,fin_partida,Relderf,Masculino,30,timeout,,1,Fácil
05/07/21,19:56:31,1:04,15,6.0,inicio_partida,Relderf,Masculino,30,,,1,Fácil
05/07/21,20:02:09,1:04,16,6.0,inicio_partida,Relderf,Masculino,30,,,1,Fácil
05/07/21,20:16:41,1:04,17,6.0,inicio_partida,Relderf,Masculino,30,,,1,Fácil
05/07/21,20:17:55,0:00,17,6.0,fin_partida,Relderf,Masculino,30,timeout,,1,Fácil
05/07/21,20:24:10,3:20,18,10.0,inicio_partida,Relderf,Masculino,30,,,5,Difícil
05/07/21,20:24:12,3:19,18,10.0,intento,Relderf,Masculino,30,error,Lentes,5,Difícil
05/07/21,20:24:14,3:17,18,10.0,intento,Relderf,Masculino,30,error,Llave,5,Difícil
05/07/21,20:24:15,3:15,18,10.0,intento,Relderf,Masculino,30,error,Snitch,5,Difícil
05/07/21,20:24:17,3:14,18,10.0,intento,Relderf,Masculino,30,error,Jaula,5,Difícil
05/07/21,20:24:18,3:13,18,10.0,intento,Relderf,Masculino,30,error,Espada,5,Difícil
05/07/21,20:24:19,3:11,18,10.0,intento,Relderf,Masculino,30,error,Lechuza,5,Difícil
05/07/21,20:24:21,3:09,18,10.0,intento,Relderf,Masculino,30,correcto,Lentes,5,Difícil
05/07/21,20:24:22,3:08,18,10.0,intento,Relderf,Masculino,30,error,Jaula,5,Difícil
05/07/21,20:24:24,3:06,18,10.0,intento,Relderf,Masculino,30,error,Snitch,5,Difícil
05/07/21,20:24:26,3:05,18,10.0,intento,Relderf,Masculino,30,correcto,Snitch,5,Difícil
05/07/21,20:24:27,3:03,18,10.0,intento,Relderf,Masculino,30,error,Vara,5,Difícil
05/07/21,20:24:29,3:02,18,10.0,intento,Relderf,Masculino,30,error,Lechuza,5,Difícil
05/07/21,20:24:30,3:01,18,10.0,intento,Relderf,Masculino,30,error,Horocruxes,5,Difícil
05/07/21,20:24:32,2:59,18,10.0,intento,Relderf,Masculino,30,error,Llave,5,Difícil
05/07/21,20:24:35,2:55,18,10.0,intento,Relderf,Masculino,30,error,Horocruxes,5,Difícil
05/07/21,20:24:37,2:54,18,10.0,intento,Relderf,Masculino,30,correcto,Mapa,5,Difícil
05/07/21,20:24:40,2:51,18,10.0,intento,Relderf,Masculino,30,error,Capa,5,Difícil
05/07/21,20:24:41,2:49,18,10.0,intento,Relderf,Masculino,30,error,Espada,5,Difícil
05/07/21,20:24:43,2:47,18,10.0,intento,Relderf,Masculino,30,error,Lechuza,5,Difícil
05/07/21,20:24:45,2:45,18,10.0,intento,Relderf,Masculino,30,correcto,Espada,5,Difícil
05/07/21,20:24:47,2:44,18,10.0,intento,Relderf,Masculino,30,error,Jaula,5,Difícil
05/07/21,20:24:49,2:41,18,10.0,intento,Relderf,Masculino,30,error,Vara,5,Difícil
05/07/21,20:24:51,2:40,18,10.0,intento,Relderf,Masculino,30,error,Vara,5,Difícil
05/07/21,20:24:53,2:38,18,10.0,intento,Relderf,Masculino,30,error,Horocruxes,5,Difícil
05/07/21,20:24:54,2:36,18,10.0,intento,Relderf,Masculino,30,correcto,Horocruxes,5,Difícil
05/07/21,20:24:56,2:34,18,10.0,intento,Relderf,Masculino,30,error,Jaula,5,Difícil
05/07/21,20:24:58,2:33,18,10.0,intento,Relderf,Masculino,30,error,Lechuza,5,Difícil
05/07/21,20:24:59,2:31,18,10.0,intento,Relderf,Masculino,30,error,Jaula,5,Difícil
05/07/21,20:25:01,2:30,18,10.0,intento,Relderf,Masculino,30,error,Lechuza,5,Difícil
05/07/21,20:25:03,2:28,18,10.0,intento,Relderf,Masculino,30,error,Llave,5,Difícil
05/07/21,20:25:05,2:26,18,10.0,intento,Relderf,Masculino,30,correcto,Llave,5,Difícil
05/07/21,20:25:07,2:23,18,10.0,intento,Relderf,Masculino,30,error,Jaula,5,Difícil
05/07/21,20:25:09,2:22,18,10.0,intento,Relderf,Masculino,30,error,Lechuza,5,Difícil
05/07/21,20:25:11,2:19,18,10.0,intento,Relderf,Masculino,30,error,Capa,5,Difícil
05/07/21,20:25:14,2:17,18,10.0,intento,Relderf,Masculino,30,error,Lechuza,5,Difícil
05/07/21,20:25:16,2:15,18,10.0,intento,Relderf,Masculino,30,error,Jaula,5,Difícil
05/07/21,20:25:17,2:13,18,10.0,intento,Relderf,Masculino,30,error,Vara,5,Difícil
05/07/21,20:25:19,2:11,18,10.0,intento,Relderf,Masculino,30,correcto,Lechuza,5,Difícil
05/07/21,20:25:21,2:10,18,10.0,intento,Relderf,Masculino,30,error,Jaula,5,Difícil
05/07/21,20:25:22,2:08,18,10.0,intento,Relderf,Masculino,30,error,Capa,5,Difícil
05/07/21,20:25:24,2:07,18,10.0,intento,Relderf,Masculino,30,error,Vara,5,Difícil
