X,Y,COMUNA,NOMBRE,UBICACION,LUGAR,DIRECCION NORMALIZADA
-58.45853844697,-34.5783900080896,13,SAN MIGUEL DE GARICOITS,AV. ALVAREZ THOMAS Y VIRREY LORETO,ESPACIOS VERDES,ALVAREZ THOMAS AV. Y LORETO, VIRREY
-58.501121134309,-34.5816110674025,12,PLAZA GIANANTONIO,BOLIVIA Y LADINES,ESPACIOS VERDES,ESTADO PLURINACIONAL DE BOLIVIA Y LADINES
-58.399361602931,-34.5827150216373,2,ARTIGAS,PZA URUGUAY (AV. LIBERTADOR Y TAGLE),ESPACIOS VERDES,DEL LIBERTADOR AV. Y TAGLE
-58.3721779351042,-34.6079293558924,1,PZA. 25 DE MAYO I,LADO BCO. NACION,ESPACIOS VERDES,RIVADAVIA AV. Y RECONQUISTA
-58.3735708970457,-34.6079405226344,1,PZA. 25 DE MAYO III,LADO CATEDRAL,ESPACIOS VERDES,RIVADAVIA AV. Y SAN MARTIN
-58.3735040176063,-34.608513029906,1,PZA. 25 DE MAYO IV,LADO CABILDO,ESPACIOS VERDES,DE MAYO AV. Y BOLIVAR
-58.3721261689569,-34.6089296356935,1,PZA. 25 DE MAYO II,LADO AFIP,ESPACIOS VERDES,DEFENSA Y YRIGOYEN, HIPOLITO AV.
-58.412333467425,-34.6230328670314,5,PZA. BOEDO I,C. CALVO Y LORIA,ESPACIOS VERDES,CALVO, CARLOS Y SANCHEZ DE LORIA
-58.412333467425,-34.6230328670314,5,PZA. BOEDO II,C. CALVO Y LORIA,ESPACIOS VERDES,CALVO, CARLOS Y SANCHEZ DE LORIA
-58.3679712229013,-34.6251954311299,1,LA LOBA,PQUE. LEZAMA,ESPACIOS VERDES,BRASIL AV. Y PASEO COLON AV.
-58.3679712229013,-34.6251954311299,1,LA CASCADA,PQUE. LEZAMA (BRASIL Y PASEO COLON),ESPACIOS VERDES,BRASIL AV. Y PASEO COLON AV.
-58.3679712229013,-34.6251954311299,1,COORD. INTERNACIONAL,PQUE. LEZAMA,ESPACIOS VERDES,BRASIL AV. Y PASEO COLON AV.
-58.3710934758963,-34.6253696526422,1,LA MAGDALENA/PEDRO DE MENDOZA,PQUE. LEZAMA (DEFENSA Y AV. BRASIL),ESPACIOS VERDES,DEFENSA Y BRASIL AV.
-58.3671917961282,-34.6341768060482,4,FUENTE CASA AMARILLA,PQUE. IRALA (IRALA 600),ESPACIOS VERDES,IRALA 600
-58.3671917961282,-34.6341768060482,4,LAGO CASA AMARILLA,PQUE. IRALA (IRALA 600),ESPACIOS VERDES,IRALA 600
-58.3653316778786,-34.6453025887535,4,GLORIAS NAVALES,IRALA Y CALIFORNIA (PZA. ATE. BROWN),ESPACIOS VERDES,IRALA Y CALIFORNIA
-58.4503042898297,-34.55040744354,13,QUINTEROS (PZA. FLEMING),QUINTEROS Y HERNANDEZ,ESPACIOS VERDES,QUINTEROS, LIDORO J. AV. Y HERNANDEZ, RAFAEL
-58.4605211932025,-34.573938040475,13,PQUE. DE LA PAZ (PTA. ZARRAGA),SUPERI Y ZARRAGA,ESPACIOS VERDES,SUPERI Y ZARRAGA
-58.4150535460709,-34.574570920022,14,PLAZA RAMON FERNANDEZ,PLAZA RAMON FERNANDEZ,ESPACIOS VERDES,SARMIENTO AV. E IRAOLA AV.
-58.3738380510114,-34.593568415678,1,CAIDOS EN MALVINAS,PZA. SAN MARTIN,ESPACIOS VERDES,SAN MARTIN Y DEL LIBERTADOR AV.
-58.3738380510114,-34.593568415678,1,PZA. LIB. GRAL. SAN MARTÍN,PZA. SAN MARTIN,ESPACIOS VERDES,SAN MARTIN Y DEL LIBERTADOR AV.
-58.4565457184431,-34.63218968661,7,MISERICORDIA,AV. DIRECTORIO Y CAMACUA,ESPACIOS VERDES,DIRECTORIO AV. Y CAMACUA
-58.4799288479445,-34.64130321524,9,PQUE. AVELLANEDA,PQUE. AVELLANEDA,ESPACIOS VERDES,DIRECTORIO AV. Y LACARRA
-58.4360483321147,-34.5426724713315,13,PQUE. LA MEMORIA,AV. RAFAEL OBLIGADO Y INTENDENTE GÜIRALDES ,ESPACIOS VERDES,OBLIGADO RAFAEL, AV.COSTANERA Y GUIRALDES, INT.
-58.4421920114545,-34.5477738285025,13,PZA REPUBLICA DE HONDURAS,AV. MONROE Y AV. FIGUEROA ALCORTA,ESPACIOS VERDES,MONROE Y FIGUEROA ALCORTA, PRES. AV.
-58.4280039708749,-34.5599801951422,14,REGATAS I,LAGO REGATAS (PARQUE 3 DE FEBRERO),ESPACIOS VERDES,BELLO, ANDRES Y DE LOS OMBUES AV.
-58.4458180211088,-34.5649104298377,13,EL CANTARO,BARRANCAS DE BELGRANO,ESPACIOS VERDES,11 DE SEPTIEMBRE DE 1888 1441
