ID,OBJETO_OBRA,CANTIDAD_OBJETOS,MATERIAL,DENOMINACION_SIMBOLIZA,AUTORES,UBICACION,OBSERVACIONES,DIRECCION_NORMALIZADA,CALLE,ALTURA,BARRIO,COMUNA,CODIGA_POSTAL,CODIGO_POSTAL_ARGENTINO,LATITUD,LONGITUD,,,,,,,
11,ESTATUA,1,MARMOL DE CORDOBA,INTERIORES,ALVAREZ LOMBA, A.,,,BOEDO AV. 883,BOEDO AV.,883,BOEDO,COMUNA 5,1218,C1218AAE,-34.62371261,-58.41632758,,,,,,
14,ESTATUA,1,MARMOL,EL TRABAJO,ANDINA, EMILIO,,,CASEROS AV. Y MONTEAGUDO,CASEROS AV.,,PARQUE PATRICIOS,COMUNA 4,,,-34.63711738,-58.40561079,,,,,,
15,ESTATUA,1,BRONCE,?USTA (FUENTE INCAICA),ANDINA, EMILIO,,,PERON, EVA AV. 1410,PERON, EVA AV.,1410,PARQUE CHACABUCO,COMUNA 7,1406,C1406HMP,-34.63290276,-58.44476252,,,,
17,MASTIL,1,GRANITO Y BRONCE,HOMENAJE A LA BANDERA,PERLOTI, LUIS,PLAZA VELEZ SARSFIELD,PLAZA VELEZ SARSFIELD,AVELLANEDA AV. 3800,AVELLANEDA AV.,3800,FLORESTA,COMUNA 10,1407,C1407EJR,-34.62920338,-58.48217466,,,,,,
18,MONUMENTO,1,BRONCE Y MAMPOSTERIA,CEFERINO NAMUNCURA,ARMAS, ARMANDO,PZTA CEFERINO NAMUNCURA,PZTA CEFERINO NAMUNCURA,ARREGUI AV. 6400,ARREGUI AV.,6400,VERSALLES,COMUNA 10,1408,C1408AVV,-34.62847185,-58.5240179,,,,,,
19,PLACA Y MONOLITO,1,BRONCE Y MAMPOSTERIA,NOMENCLATURA OBRA 85,D.G.M,PLAZA 11 DE JUNIO DE 1580,PLAZA 11 DE JUNIO DE 1580,ALEM, LEANDRO N. AV. 90,ALEM, LEANDRO N. AV.,90,SAN NICOLAS,COMUNA 1,1003,C1003AAN,-34.60669936,-58.37036874,,,,,
21,BUSTO,1,MARMOL,BASILIO V. PERTINE,ARRIGUTTI, MASIO,PALACIO MUNICIPAL,PALACIO MUNICIPAL,BOLIVAR 1,BOLIVAR,1,MONSERRAT,COMUNA 1,1066,C1066AAA,-34.60820168,-58.37357335,,,,,,
22,PLACA,1,BRONCE,HJE. A JUAN DE GARAY,,PLAZA 11 DE JUNIO DE 1580,PLAZA 11 DE JUNIO DE 1580,ALEM, LEANDRO N. AV. 90,ALEM, LEANDRO N. AV.,90,SAN NICOLAS,COMUNA 1,1003,C1003AAN,-34.60669936,-58.37036874,,,,,
23,PLACA Y MONOLITO,1,BRONCE Y MAMPOSTERIA,HJE. AL IV° CENTENARIO,,PLAZA 11 DE JUNIO DE 1580,PLAZA 11 DE JUNIO DE 1580,ALEM, LEANDRO N. AV. 90,ALEM, LEANDRO N. AV.,90,SAN NICOLAS,COMUNA 1,1003,C1003AAN,-34.60669936,-58.37036874,,,,,
24,PLACA Y MONOLITO,1,BRONCE Y MAMPOSTERIA,HJE. AL IV° CENTENARIO,,PLAZA 11 DE JUNIO DE 1580,PLAZA 11 DE JUNIO DE 1580,ALEM, LEANDRO N. AV. 90,ALEM, LEANDRO N. AV.,90,SAN NICOLAS,COMUNA 1,1003,C1003AAN,-34.60669936,-58.37036874,,,,,
25,PLACA Y MONOLITO,1,BRONCE Y MAMPOSTERIA,HJE. VASCO A GUERNICA,,PLAZA 11 DE JUNIO DE 1580,PLAZA 11 DE JUNIO DE 1580,ALEM, LEANDRO N. AV. 90,ALEM, LEANDRO N. AV.,90,SAN NICOLAS,COMUNA 1,1003,C1003AAN,-34.60669936,-58.37036874,,,,,
26,BUSTO,1,MARMOL,MARIANO DE VEDIA YMITRE,ASSALI, ORESTES,PALACIO MUNICIPAL,PALACIO MUNICIPAL,BOLIVAR 1,BOLIVAR,1,MONSERRAT,COMUNA 1,1066,C1066AAA,-34.60820168,-58.37357335,,,,,,
27,ESCULTURA MODERNA,1,MAMPOSTERIA,LA PRIMAVERA,ASSLER, FEDERICO,,,CORDOBA AV. Y RODRIGUEZ PEÑA,CORDOBA AV.,,SAN NICOLAS,COMUNA 1,,,-34.59956015,-58.39155901,,,,,,
28,MONUMENTO,1,BRONCE Y GRANITO,EN LAS AMERICAS,ATTARDI, UGO,PZTA PROVINCIA DE TUCUMAN,PZTA PROVINCIA DE TUCUMAN,9 DE JULIO AV. Y PELLEGRINI, CARLOS,9 DE JULIO AV.,,RETIRO,COMUNA 1,,,-34.59668496,-58.38142415,,,,,
